r,radwave
4.132,-0.000544
4.135,-0.000543
4.138,-0.000541
4.141,-0.000539
4.144,-0.000537
4.147,-0.000535
4.15,-0.000534
4.153,-0.000532
4.156,-0.00053
4.159,-0.000528
4.162,-0.000526
4.165,-0.000525
4.168,-0.000523
4.171,-0.000521
4.174,-0.000519
4.177,-0.000518
4.18,-0.000516
4.183,-0.000514
4.186,-0.000513
4.189,-0.000511
4.192,-0.000509
4.195,-0.000507
4.198,-0.000506
4.201,-0.000504
4.204,-0.000502
4.207,-0.000501
4.21,-0.000499
4.213,-0.000497
4.216,-0.000496
4.219,-0.000494
4.222,-0.000492
4.225,-0.000491
4.228,-0.000489
4.231,-0.000487
4.234,-0.000486
