Energy,r,wavef,radwave
-0.579689,1.87,-0.012772,-0.00683
-0.579689,1.873,-0.012751,-0.006808
-0.579689,1.876,-0.01273,-0.006786
-0.579689,1.879,-0.01271,-0.006764
-0.579689,1.882,-0.012689,-0.006742
-0.579689,1.885,-0.012668,-0.006721
-0.579689,1.888,-0.012647,-0.006699
-0.579689,1.891,-0.012627,-0.006677
-0.579689,1.894,-0.012606,-0.006656
-0.579689,1.897,-0.012585,-0.006634
-0.579689,1.9,-0.012564,-0.006613
-0.579689,1.903,-0.012543,-0.006591
-0.579689,1.906,-0.012523,-0.00657
-0.579689,1.909,-0.012502,-0.006549
-0.579689,1.912,-0.012481,-0.006528
-0.579689,1.915,-0.01246,-0.006507
-0.579689,1.918,-0.012439,-0.006486
-0.579689,1.921,-0.012418,-0.006464
-0.579689,1.924,-0.012397,-0.006444
-0.579689,1.927,-0.012376,-0.006423
-0.579689,1.93,-0.012356,-0.006402
-0.579689,1.933,-0.012335,-0.006381
-0.579689,1.936,-0.012314,-0.00636
-0.579689,1.939,-0.012293,-0.00634
